entry_date	entry_time	exit_time	direction	entry_price	exit_price	tdo	stop_price	contracts	pnl	exit_type	divergence_bar	entry_bar	stop_bar_wick_pts	reentry_sequence	prior_trade_bars_held	entry_bar_body_ratio	smt_sweep_pts	smt_miss_pts	bars_since_divergence	matches_hypothesis	session_direction	entry_matches_session
2025-02-03	09:11	09:13	long	21206.5	21230.75	21215.5	21230.75	4	194.0	exit_stop	9	11	5.0	2	1	0.7582	0.5	0.75	2	False	neutral	False
2025-02-03	09:28	09:30	long	21201.5	21225.5	21215.5	21225.5	4	192.0	exit_stop	26	28	28.25	3	2	0.8226	0.25	2.0	2	False	neutral	False
2025-02-04	09:05	09:06	short	21436.75	21442.0	21421.75	21442.0	4	-42.0	exit_stop	2	5	3.75	1	0	0.84	1.25	1.75	3	False	long	False
2025-02-05	09:42	09:43	short	21562.75	21567.0375	21550.5	21567.0375	4	-34.3	exit_stop	13	42	3.0	1	0	0.3478	0.25	1.25	29	False	long	False
2025-02-05	10:13	10:15	long	21538.25	21559.0	21550.5	21559.0	4	166.0	exit_stop	57	73	1.25	2	1	0.8981	1.75	23.5	16	True	long	True
2025-02-06	09:50	09:51	short	21788.5	21792.6125	21776.75	21792.6125	4	-32.9	exit_stop	3	50	6.0	1	0	0.225	0.25	7.0	47	True	short	True
2025-02-06	10:50	10:51	long	21763.25	21758.525	21776.75	21758.525	4	-37.8	exit_stop	58	110	7.5	2	1	0.5846	0.75	42.5	52	False	short	False
2025-02-10	09:26	09:30	long	21756.5	21776.5	21764.5	21776.5	4	160.0	exit_stop	6	26	1.75	1	0	0.4167	0.75	0.0	20	True	long	True
2025-02-13	09:39	09:40	long	21854.75	21849.675	21869.25	21849.675	4	-40.6	exit_stop	6	39	25.25	1	0	0.6875	0.5	3.0	33	False	short	False
2025-02-14	09:12	09:19	long	22100.75	22109.0	22108.5	22109.0	4	66.0	exit_stop	1	12	0.5	1	0	0.05	0.25	0.0	11	False	short	False
2025-02-14	09:58	09:59	short	22123.0	22128.075	22108.5	22128.075	4	-40.6	exit_stop	21	58	2.75	2	7	0.4667	0.5	4.25	37	True	short	True
2025-02-17	09:12	09:26	short	22253.5	22241.0	22241.0	22241.0	4	100.0	exit_stop	6	12	2.25	1	0	0.6667	0.5	0.0	6	True	short	True
2025-02-18	09:32	09:34	long	22246.25	22267.0	22257.75	22267.0	4	166.0	exit_stop	3	32	11.75	1	0	0.5957	0.25	0.5	29	False	short	False
2025-02-18	09:39	09:40	long	22244.75	22240.2	22257.75	22240.2	4	-36.4	exit_stop	37	39	7.75	2	2	0.2558	1.25	3.75	2	False	short	False
2025-02-19	09:11	09:13	short	22216.5	22206.25	22207.5	22206.25	4	82.0	exit_stop	10	11	2.5	1	0	0.2667	0.25	1.75	1	False	neutral	False
2025-02-19	09:26	09:29	long	22194.0	22209.0	22207.5	22209.0	4	120.0	exit_stop	23	26	3.0	2	2	0.6071	0.5	6.25	3	False	neutral	False
2025-02-19	13:05	13:11	short	22222.25	22205.25	22207.5	22205.25	4	136.0	exit_stop	91	245	4.25	3	3	0.8235	4.0	32.5	154	False	neutral	False
2025-02-20	09:22	09:25	short	22217.25	22204.0	22210.0	22204.0	4	106.0	exit_stop	12	22	5.75	1	0	1.0	0.5	0.25	10	False	long	False
2025-02-25	09:28	09:30	long	21382.75	21401.5	21391.25	21401.5	4	150.0	exit_stop	4	28	2.5	1	0	0.8455	0.25	0.0	24	True	long	True
2025-02-26	09:43	09:44	long	21230.75	21228.0375	21238.5	21228.0375	4	-21.7	exit_stop	28	43	12.5	1	0	0.4899	1.25	0.25	15	False	short	False
2025-02-28	09:28	09:30	long	20579.0	20595.0	20590.75	20595.0	4	128.0	exit_stop	1	28	3.25	1	0	0.5222	0.25	0.5	27	True	long	True
2025-03-03	09:24	09:28	short	21070.25	21049.75	21055.75	21049.75	4	164.0	exit_stop	1	24	1.75	1	0	0.9756	0.5	0.0	23	True	short	True
2025-03-04	09:39	09:41	short	20357.25	20313.5	20342.5	20313.5	4	350.0	exit_stop	7	39	32.75	1	0	0.9177	0.75	1.5	32	False	long	False
2025-03-04	09:44	09:45	long	20331.0	20326.975	20342.5	20326.975	4	-32.2	exit_stop	43	44	18.75	2	2	0.5229	4.25	3.0	1	True	long	True
2025-03-04	09:57	09:58	long	20328.0	20322.925	20342.5	20322.925	4	-40.6	exit_stop	50	57	6.75	3	1	0.3333	4.0	32.25	7	True	long	True
2025-03-05	10:11	10:13	short	20435.25	20419.5	20421.25	20419.5	4	126.0	exit_stop	40	71	35.75	1	0	0.2807	6.75	36.75	31	False	neutral	False
2025-03-07	10:54	10:56	long	20028.0	20047.75	20037.25	20047.75	4	158.0	exit_stop	2	114	13.25	1	0	0.4529	1.5	6.0	112	True	long	True
2025-03-10	09:40	09:42	long	19869.5	19885.5	19881.75	19885.5	4	128.0	exit_stop	2	40	18.0	1	0	0.561	0.25	0.25	38	False	short	False
2025-03-11	10:54	10:55	long	19408.5	19404.475	19420.0	19404.475	4	-32.2	exit_stop	2	114	8.0	1	0	0.6047	0.25	1.5	112	False	neutral	False
